390,0.000415
395,0.00106
400,0.00245
405,0.00497
410,0.00908
415,0.0143
420,0.0203
425,0.0261
430,0.0332
435,0.0416
440,0.0503
445,0.0574
450,0.0647
455,0.0724
460,0.0851
465,0.106
470,0.13
475,0.154
480,0.179
485,0.206
490,0.238
495,0.285
500,0.348
505,0.428
510,0.52
515,0.621
520,0.718
525,0.795
530,0.858
535,0.907
540,0.954
545,0.981
550,0.989
555,0.999
560,0.997
565,0.99
570,0.973
575,0.942
580,0.896
585,0.859
590,0.812
595,0.754
600,0.692
605,0.627
610,0.558
615,0.49
620,0.423
625,0.361
630,0.298
635,0.242
640,0.194
645,0.155
650,0.119
655,0.0898
660,0.0667
665,0.049
670,0.0356
675,0.0255
680,0.0181
685,0.0126
690,0.00866
695,0.00603
700,0.0042
705,0.00291
710,0.002
715,0.00137
720,0.000945
725,0.000654
730,0.000456
735,0.000318
740,0.000222
745,0.000157
750,0.00011
755,0.0000783
760,0.0000558
765,0.0000398
770,0.0000286
775,0.0000205
780,0.0000149
785,0.0000108
790,0.00000786
795,0.00000574
800,0.00000421
805,0.00000311
810,0.00000229
815,0.00000169
820,0.00000126
825,0.000000942
830,0.000000705
